Producto,Categoria,Precio
ARITOS DE MIEL X 2KG,$ 17.000,00
ARITOS FRUTALES X 2KG,$ 12.445,00
ALMOHADITAS X 2KG,$ 14.295,00
ALMOHADITA SALVADO X 1,5KG,$ 13.395,00
BOLITA DE CHOCOLATE X 2 KG,$ 14.030,00
COPOS AZUCARADO X 2 KG,$ 11.575,00
COPOS SIN AZUCAR X 2 KG,$ 10.025,00
CHISITO X 7KG,$ 38.400,00
CHISITO X 5KG,$ 27.285,00
PUFLITO X 7 KG,$ 46.780,00
TUTUCA X 10KG,$ 57.280,00
PAPA ESPAÑOLA/ACANALADA X 5KG,$ 56.275,00
PAPA BASTON X 5 KG,$ 56.195,00
CHIMICHURRI X 25KG,$ 191.760,00
COMINO X 25KG,$ 179.520,00
COND. P/ARROZ, P/CARNE, P/EMP. X 10KG,$ 80.990,00
CONDIMENTO PARA PIZZA X 25KG,$ 156.975,00
CURCUMA X 10 KG,$ 70.995,00
CURRY X 5KG,$ 60.430,00
INTEGRAL DE CHORIZO X 5KG,$ 35.575,00
LAUREL X 10KG,$ 135.400,00
NUEZ MOSCADA X 10KG,$ 94.330,00
OREGANO X 25KG,$ 124.345,00
PEREJIL X 5KG,$ 57.830,00
PIMENTON X 25KG,$ 169.695,00
PIMIENTA BLANCA X 10KG,$ 111.000,00
PIMIENTA NEGRA X 10KG,$ 69.150,00
PROVENZAL X 25KG,$ 155.860,00
AZUCAR IMPALPABLE X 10KG,$ 35.295,00
AVENA X 25KG,$ 81.425,00
AZUCAR MASCABO X 10KG,$ 53.960,00
POLVO PARA HORNEAR X 10KG,$ 87.665,00
PROTEINA DE SOJA TEXTURIZADA X 5KG,$ 17.275,00
CACAO AMARGO EN POLVO X KG,$ 21.050,00
COCO RALLADO X KG,$ 19.705,00
GELATINA SIN SABOR X KG,$ 32.085,00
SAL DEL HIMALAYA X 5 KG,$ 17.540,00
BICARBONATO DE SODIO X 5 KG,$ 18.630,00
FECULA DE MAIZ X 25KG,$ 70.025,00
ALMENDRA X 5KG,$ 166.720,00
HARINA DE ALMENDRA X 5KG,$ 214.155,00
CASTAÑA DE CAJU X 5KG,$ 146.185,00
NUEZ SIN CASCARA X 5KG,$ 176.890,00
MIX PAN DULCE X 5KG,$ 100.725,00
MIX TROPICAL X 5KG,$ 100.725,00
MIX SECO X 5KG,$ 156.290,00
BANANA CHIPS X 5KG,$ 121.380,00
CIRUELA X 5KG,$ 69.775,00
PAPAYA X 5KG,$ 77.855,00
PASAS DE UVA MOROCHA X 5KG,$ 38.135,00
PASAS DE UVA RUBIA X 5KG,$ 67.725,00
SEMILLA DE CHIA X 5KG,$ 58.505,00
SEMILLA DE GIRASOL X 5KG,$ 29.470,00
SEMILLA DE LINO X 5KG,$ 20.635,00
SEMILLA DE SESAMO BLANCO INT X 5KG,$ 20.170,00
MIX SEMILLA X 5KG,$ 33.125,00
MIX SEMILLA DESAYUNO X KG,$ 12.360,00
MIX SEMILLA INTEGRAL PREMIUM X KG,$ 15.015,00
