productos,categoria,precio,detalle_de_producto,empaque,cita
"ALMOHADITA S/MANI, S/LIMON, S/FRUTILLA, S/CHOCOLATE","CEREALES","$ 9.175,00","X KG","bolsita",""
"ALMOHADITA S/MANI, S/LIMON, S/FRUTILLA, S/CHOCOLATE 125GR","CEREALES","$ 1.960,00","125GR","bolsita",""
"ALMOHADITA S/MANI, S/LIMON, S/FRUTILLA, S/CHOCOLATE 250GR","CEREALES","$ 3.045,00","250GR","bolsita",""
"ALMOHADITA SALVADO","CEREALES","$ 10.425,00","X KG","bolsita",""
"ALMOHADITA SALVADO X 125GR","CEREALES","$ 2.125,00","125GR","bolsita",""
"ALMOHADITA SALVADO X 250GR","CEREALES","$ 3.365,00","250GR","bolsita",""
"ARITOS FRUTALES","CEREALES","$ 8.015,00","X KG","bolsita",""
"ARITOS FRUTALES 125GR","CEREALES","$ 1.825,00","125GR","bolsita",""
"ARITOS FRUTALES 250GR","CEREALES","$ 2.760,00","250GR","bolsita",""
"AVENA INSTANTANEA","CEREALES","$ 4.425,00","X KG","bolsita",""
"AVENA INSTANTANEA 300GR","CEREALES","$ 1.870,00","300GR","bolsita",""
"BOLITA DE CHOCOLATE","CEREALES","$ 9.765,00","X KG","bolsita",""
"BOLITA DE CHOCOLATE 125GR","CEREALES","$ 2.040,00","125GR","bolsita",""
"BOLITA DE CHOCOLATE 250GR","CEREALES","$ 3.200,00","250GR","bolsita",""
"COPOS DE MAIZ AZUCARADO","CEREALES","$ 7.480,00","X KG","bolsita",""
"COPOS DE MAIZ AZUCARADO 125 GR","CEREALES","$ 1.755,00","125 GR","bolsita",""
"COPOS DE MAIZ AZUCARADO 250GR","CEREALES","$ 2.625,00","250GR","bolsita",""
"COPOS DE MAIZ SIN AZUCAR","CEREALES","$ 6.530,00","X KG","bolsita",""
"COPOS DE MAIZ SIN AZUCAR 125GR","CEREALES","$ 1.640,00","125GR","bolsita",""
"COPOS DE MAIZ SIN AZUCAR 250GR","CEREALES","$ 2.390,00","250GR","bolsita",""
"GRANOLA ENERGETICA Y TROPICAL","CEREALES","$ 13.015,00","X KG","bolsita",""
"GRANOLA ENERGETICA Y TROPICAL X 170GR","CEREALES","$ 2.945,00","170GR","bolsita",""
"GRANOLA PREMIUN","CEREALES","$ 14.530,00","X KG","bolsita",""
"GRANOLA PREMIUN X 170GR","CEREALES","$ 3.055,00","170GR","bolsita",""
"AJI","CONDIMENTOS","$ 8.550,00","X KG","bolsita",""
"AJI 150GR","CONDIMENTOS","$ 2.335,00","150GR","bolsita",""
"AJO EN POLVO","CONDIMENTOS","$ 11.340,00","X KG","bolsita",""
"AJO EN POLVO X 150GR","CONDIMENTOS","$ 2.765,00","150GR","bolsita",""
"AJO TRITURADO","CONDIMENTOS","$ 15.070,00","X KG","bolsita",""
"AJO TRITURADO X150GR","CONDIMENTOS","$ 3.325,00","150GR","bolsita",""
"ALBAHACA","CONDIMENTOS","$ 14.695,00","X KG","bolsita",""
"ALBAHACA X 70GR","CONDIMENTOS","$ 2.165,00","70GR","bolsita",""
"ANIS","CONDIMENTOS","$ 16.620,00","X KG","bolsita",""
"ANIS X 100GR","CONDIMENTOS","$ 2.735,00","100GR","bolsita",""
"AZAFRAN EN CAPSULA","CONDIMENTOS","$ 1.130,00","Cápsula","bolsita",""
"CALDO DE VERDURA CON SAL SINTACC X 6UND","CONDIMENTOS","$ 14.040,00","6 UND","bolsita",""
"CALDO DE VERDURA CON SAL SINTACC X UNIDAD","CONDIMENTOS","$ 2.435,00","Unidad","bolsita",""
"CHIMI","CONDIMENTOS","$ 9.230,00","X KG","bolsita",""
"CHIMI 150GR","CONDIMENTOS","$ 2.450,00","150GR","bolsita",""
"COMINO","CONDIMENTOS","$ 8.740,00","X KG","bolsita",""
"COMINO 150GR","CONDIMENTOS","$ 2.385,00","150GR","bolsita",""
