id,categoria_id,nombre,precio
almendra_5kg,frutos,ALMENDRA X 5KG,166720
almendras_150,frutos,ALMENDRAS 150GR,6560
almendras_kg,frutos,ALMENDRAS X KG,36645
castana_150,frutos,CASTAÑA DE CAJU X 150GR,5735
castana_5kg,frutos,CASTAÑA DE CAJU X 5KG,146185
castana_kg,frutos,CASTAÑA DE CAJU X KG,32215
chisito_120,frutos,CHISITO 120GR,1555
chisito_50,frutos,CHISITO 50GR,1270
chisito_5kg,frutos,CHISITO X 5KG,27285
chisito_7kg,frutos,CHISITO X 7KG,38400
chisito_kg,frutos,CHISITO X KG,7250
crocante_150,frutos,CROCANTE CON MANI 150GR,1445
crocante_kg,frutos,CROCANTE CON MANI X KG,5080
garrapinada_170,frutos,GARRAPIÑADA 170GR,1775
garrapinada_250,frutos,GARRAPIÑADA 250GR,2110
garrapinada_kg,frutos,GARRAPIÑADA X KG,5640
lenteja_170,frutos,LENTEJA DE CHOCOLATE 170GR,7300
lenteja_250,frutos,LENTEJA DE CHOCOLATE 250GR,10230
lenteja_kg,frutos,LENTEJA DE CHOCOLATE X KG,37390
mani_170_varios,frutos,"MANI 170GR SALADO, SIN SAL Y SABORIZADOS",1840
mani_250_varios,frutos,"MANI 250GR SALADO, SIN SAL Y SABORIZADOS",2275
mani_choco_170,frutos,MANI CON CHOCOLATE 170GR,6440
mani_choco_250,frutos,MANI CON CHOCOLATE 250GR,8820
mani_choco_kg,frutos,MANI CON CHOCOLATE X KG,31775
mani_varios_kg,frutos,"MANI SALADO, SIN SAL, CRUDO Y JAPONES X KG",5360
mani_vaina_150,frutos,MANI VAINA TOSTADO X 150GR,1865
mani_vaina_kg,frutos,MANI VAINA TOSTADO X KG,6125
nuez_150,frutos,NUECES SIN CASCARA 150GR,6765
nuez_5kg,frutos,NUEZ SIN CASCARA X 5KG,176890
nuez_kg,frutos,NUECES SIN CASCARA X KG,38830
palito_170,frutos,"PALITO 170GR SALADO Y SABORIZADO",1725
palito_kg,frutos,PALITO SALADO X KG,5450
papa_baston_150,frutos,PAPAS BASTON 150GR,2815
papa_baston_5kg,frutos,PAPA BASTON X 5 KG,56195
papa_baston_kg,frutos,PAPAS BASTON X KG,13025
papa_espanola_60,frutos,PAPAS ESPAÑOLAS Y ACANALADA 60GR,1755
papa_espanola_120,frutos,PAPAS ESPAÑOLAS Y ACANALADA 120GR,2420
papa_espanola_5kg,frutos,PAPA ESPAÑOLA/ACANALADA X 5KG,56275
papa_espanola_kg,frutos,PAPAS ESPAÑOLAS Y ACANALADA X KG,14235
puflito_40,frutos,PUFLITO 40GR,1270
puflito_100,frutos,PUFLITO 100GR,1800
puflito_7kg,frutos,PUFLITO X 7 KG,46780
puflito_kg,frutos,PUFLITO X KG,8580
tutuca_50,frutos,TUTUCA BLANCA 50GR,1285
tutuca_100,frutos,TUTUCA BLANCA 100GR,1460
tutuca_10kg,frutos,TUTUCA X 10KG,57280
tutuca_kg,frutos,TUTUCA BLANCA X KG,7440
aji_150,condimentos,AJI 150GR,2335
aji_kg,condimentos,AJI X KG,8550
ajo_polvo_150,condimentos,AJO EN POLVO X 150GR,2765
ajo_polvo_kg,condimentos,AJO EN POLVO X KG,11340
ajo_triturado_150,condimentos,AJO TRITURADO X150GR,3325
ajo_triturado_kg,condimentos,AJO TRITURADO X KG,15070
albahaca_70,condimentos,ALBAHACA X 70GR,2165
albahaca_kg,condimentos,ALBAHACA X KG,14695
anis_100,condimentos,ANIS X 100GR,2735
anis_kg,condimentos,ANIS X KG,16620
azafran,condimentos,AZAFRAN EN CAPSULA,1130
caldo_sintacc_6,condimentos,CALDO DE VERDURA CON SAL SINTACC X 6UND,14040
caldo_sintacc_1,condimentos,CALDO DE VERDURA CON SAL SINTACC X UNIDAD,2435
chimi_150,condimentos,CHIMI 150GR,2450
chimi_25kg,condimentos,CHIMICHURRI X 25KG,191760
chimi_kg,condimentos,CHIMI X KG,9230
colorante_kg,condimentos,COLORANTE ROJO X KG,8525
comino_150,condimentos,COMINO 150GR,2385
comino_25kg,condimentos,COMINO X 25KG,179520
comino_kg,condimentos,COMINO X KG,8740
